Layer,Name,GEOID,SES_2023,SES_2023_moe
Census tract,Tract 3819,17031381900,34.30,3.06
Census tract,Tract 3901,17031390100,32.20,3.23
Census tract,Tract 3902,17031390200,27.90,3.02
Census tract,Tract 3903,17031390300,34.30,2.94
Census tract,Tract 3904,17031390400,31.00,3.15
Census tract,Tract 3905,17031390500,25.90,2.43
Census tract,Tract 3906,17031390600,24.70,2.35
Census tract,Tract 3907,17031390700,26.50,2.64
Census tract,Tract 4003,17031400300,34.90,3.73
Census tract,Tract 4004,17031400400,36.30,4.03
Census tract,Tract 4005,17031400500,35.30,3.65
Census tract,Tract 4008,17031400800,38.40,3.53
Census tract,Tract 4101,17031410100,26.40,2.56
Census tract,Tract 4102,17031410200,24.00,2.43
Census tract,Tract 4105,17031410500,27.70,2.77
Census tract,Tract 4106,17031410600,26.50,2.64
Census tract,Tract 4107,17031410700,26.00,2.64
Census tract,Tract 4108,17031410800,25.00,2.35
Census tract,Tract 4109,17031410900,23.10,2.22
Census tract,Tract 4110,17031411000,24.10,2.22
Census tract,Tract 4111,17031411100,22.80,2.39
Census tract,Tract 4112,17031411200,21.50,2.18
Census tract,Tract 4201,17031420100,33.90,3.36
Census tract,Tract 4202,17031420200,31.10,3.32
Census tract,Tract 4203,17031420300,30.60,3.02
Census tract,Tract 4204,17031420400,31.50,3.02
Census tract,Tract 4205,17031420500,35.20,3.86
Census tract,Tract 4206,17031420600,37.30,3.44
Census tract,Tract 4207,17031420700,37.90,3.53
Census tract,Tract 4208,17031420800,35.70,3.48
Census tract,Tract 4212,17031421200,35.60,3.19
Census tract,Tract 4301.01,17031430101,35.90,3.65
Census tract,Tract 4301.02,17031430102,33.80,3.11
Census tract,Tract 4302,17031430200,33.70,3.11
Census tract,Tract 4303,17031430300,35.80,3.78
Census tract,Tract 4304,17031430400,35.90,3.57
Census tract,Tract 4305,17031430500,36.80,3.82
Census tract,Tract 4306,17031430600,33.70,3.11
Census tract,Tract 4307,17031430700,32.30,3.69
Census tract,Tract 4308,17031430800,32.50,3.36
Census tract,Tract 4309,17031430900,35.10,3.48
Census tract,Tract 4312,17031431200,33.00,3.32
Census tract,Tract 4313.01,17031431301,37.60,3.57
Census tract,Tract 4313.02,17031431302,36.10,3.61
Census tract,Tract 4314,17031431400,35.10,3.27
Census tract,Tract 4401.01,17031440101,38.60,3.65
Census tract,Tract 4401.02,17031440102,35.40,3.44
Census tract,Tract 4402.01,17031440201,34.90,3.57
Census tract,Tract 4402.02,17031440202,31.30,3.02
Census tract,Tract 4403,17031440300,30.90,3.40
Census tract,Tract 4406,17031440600,33.30,3.61
Census tract,Tract 4407,17031440700,32.60,3.40
Census tract,Tract 4408,17031440800,36.40,3.36
Census tract,Tract 4409,17031440900,31.80,3.99
Census tract,Tract 4503,17031450300,35.30,3.57
Census tract,Tract 4601,17031460100,33.40,2.98
Census tract,Tract 4602,17031460200,33.70,3.15
Census tract,Tract 4603.01,17031460301,36.60,2.90
Census tract,Tract 4603.02,17031460302,35.30,3.27
Census tract,Tract 4604,17031460400,33.60,3.27
Census tract,Tract 4605,17031460500,32.40,3.36
Census tract,Tract 4608,17031460800,36.20,3.11
Census tract,Tract 4610,17031461000,34.50,3.23
Census tract,Tract 4701,17031470100,34.90,3.32
Census tract,Tract 4801,17031480100,31.40,3.32
Census tract,Tract 4802,17031480200,30.60,3.32
Census tract,Tract 4803,17031480300,32.50,3.32
Census tract,Tract 4804,17031480400,30.30,3.32
Census tract,Tract 4805,17031480500,31.90,2.94
Census tract,Tract 4902,17031490200,33.30,3.27
Census tract,Tract 4905,17031490500,33.30,3.57
Census tract,Tract 4906,17031490600,32.50,3.48
Census tract,Tract 4907,17031490700,35.30,3.15
Census tract,Tract 4908,17031490800,34.60,3.57
Census tract,Tract 4909.01,17031490901,35.10,3.40
Census tract,Tract 4909.02,17031490902,33.50,3.61
Census tract,Tract 4910,17031491000,36.40,3.73
Census tract,Tract 4911,17031491100,33.70,3.57
Census tract,Tract 4912,17031491200,36.50,3.44
Census tract,Tract 4913,17031491300,36.80,3.27
Census tract,Tract 4914,17031491400,36.30,3.61
Census tract,Tract 5001,17031500100,32.10,3.40
Census tract,Tract 5002,17031500200,37.00,3.40
Census tract,Tract 5003,17031500300,28.30,2.81
Census tract,Tract 5101,17031510100,29.60,3.02
Census tract,Tract 5102,17031510200,33.90,3.06
Census tract,Tract 5103,17031510300,36.30,3.27
Census tract,Tract 5201,17031520100,32.90,3.11
Census tract,Tract 5202,17031520200,30.90,3.19
Census tract,Tract 5203,17031520300,30.40,3.15
Census tract,Tract 5204,17031520400,28.50,2.90
Census tract,Tract 5205,17031520500,28.70,2.90
Census tract,Tract 5206,17031520600,29.70,2.90
Census tract,Tract 5301,17031530100,36.40,3.06
Census tract,Tract 5302,17031530200,35.90,3.57
Census tract,Tract 5303,17031530300,34.30,3.32
Census tract,Tract 5304,17031530400,35.10,3.23
Census tract,Tract 5305.01,17031530501,37.10,3.53
Census tract,Tract 5305.02,17031530502,33.60,3.48
Census tract,Tract 5305.03,17031530503,33.70,3.11
Census tract,Tract 5306,17031530600,35.40,3.40
Census tract,Tract 5401.01,17031540101,38.30,3.48
Census tract,Tract 5401.02,17031540102,38.30,3.53
Census tract,Tract 5501,17031550100,29.10,2.60
Census tract,Tract 5502,17031550200,26.60,2.69
Census tract,Tract 5601,17031560100,30.50,2.98
Census tract,Tract 5602,17031560200,34.30,3.06
Census tract,Tract 5603,17031560300,28.70,2.85
Census tract,Tract 5604,17031560400,30.90,2.98
Census tract,Tract 5607,17031560700,28.60,2.85
