Layer,Name,GEOID,CHACFZN_2023,CHACFZN_2023_moe
Census tract,Tract 6103,17031610300,4,
Census tract,Tract 6104,17031610400,8,
Census tract,Tract 6108,17031610800,35,
Census tract,Tract 6112,17031611200,4,
Census tract,Tract 6113,17031611300,9,
Census tract,Tract 6114,17031611400,7,
Census tract,Tract 6115,17031611500,3,
Census tract,Tract 6116,17031611600,5,
Census tract,Tract 6117,17031611700,7,
Census tract,Tract 6118,17031611800,5,
Census tract,Tract 6119,17031611900,4,
Census tract,Tract 6120,17031612000,7,
Census tract,Tract 6121,17031612100,2,
Census tract,Tract 6122,17031612200,9,
Census tract,Tract 6201,17031620100,27,
Census tract,Tract 6202,17031620200,26,
Census tract,Tract 6203,17031620300,24,
Census tract,Tract 6204,17031620400,22,
Census tract,Tract 6303,17031630300,13,
Census tract,Tract 6304,17031630400,12,
Census tract,Tract 6305,17031630500,10,
Census tract,Tract 6306,17031630600,7,
Census tract,Tract 6308,17031630800,15,
Census tract,Tract 6309,17031630900,13,
Census tract,Tract 6401,17031640100,18,
Census tract,Tract 6403,17031640300,39,
Census tract,Tract 6404,17031640400,43,
Census tract,Tract 6405,17031640500,37,
Census tract,Tract 6406,17031640600,40,
Census tract,Tract 6407,17031640700,28,
Census tract,Tract 6408,17031640800,29,
Census tract,Tract 6501,17031650100,19,
Census tract,Tract 6502,17031650200,33,
Census tract,Tract 6503.01,17031650301,18,
Census tract,Tract 6503.02,17031650302,14,
Census tract,Tract 6504,17031650400,15,
Census tract,Tract 6505,17031650500,19,
Census tract,Tract 6603.01,17031660301,4,
Census tract,Tract 6603.02,17031660302,7,
Census tract,Tract 6604,17031660400,10,
Census tract,Tract 6605,17031660500,12,
Census tract,Tract 6606,17031660600,3,
Census tract,Tract 6607,17031660700,3,
Census tract,Tract 6608,17031660800,5,
Census tract,Tract 6609,17031660900,4,
Census tract,Tract 6610,17031661000,11,
Census tract,Tract 6611,17031661100,17,
Census tract,Tract 6701,17031670100,2,
Census tract,Tract 6702,17031670200,11,
Census tract,Tract 6703,17031670300,7,
Census tract,Tract 6704,17031670400,3,
Census tract,Tract 6705,17031670500,5,
Census tract,Tract 6706,17031670600,1,
Census tract,Tract 6707,17031670700,2,
Census tract,Tract 6708,17031670800,2,
Census tract,Tract 6709,17031670900,2,
Census tract,Tract 6711,17031671100,1,
Census tract,Tract 6712,17031671200,1,
Census tract,Tract 6713,17031671300,6,
Census tract,Tract 6714,17031671400,3,
Census tract,Tract 6715,17031671500,5,
Census tract,Tract 6716,17031671600,1,
Census tract,Tract 6718,17031671800,3,
Census tract,Tract 6719,17031671900,13,
Census tract,Tract 6720,17031672000,9,
Census tract,Tract 6805,17031680500,10,
Census tract,Tract 6806,17031680600,10,
Census tract,Tract 6809,17031680900,1,
Census tract,Tract 6810,17031681000,1,
Census tract,Tract 6811,17031681100,4,
Census tract,Tract 6812,17031681200,1,
Census tract,Tract 6813,17031681300,1,
Census tract,Tract 6814,17031681400,5,
Census tract,Tract 6903,17031690300,4,
Census tract,Tract 6904,17031690400,13,
Census tract,Tract 6905,17031690500,11,
Census tract,Tract 6909,17031690900,6,
Census tract,Tract 6910,17031691000,15,
Census tract,Tract 6911,17031691100,3,
Census tract,Tract 6912,17031691200,6,
Census tract,Tract 6913,17031691300,14,
Census tract,Tract 6914,17031691400,6,
Census tract,Tract 6915,17031691500,8,
Census tract,Tract 7001,17031700100,20,
Census tract,Tract 7002,17031700200,24,
Census tract,Tract 7003.01,17031700301,31,
Census tract,Tract 7003.02,17031700302,30,
Census tract,Tract 7004.01,17031700401,32,
Census tract,Tract 7004.02,17031700402,36,
Census tract,Tract 7005.01,17031700501,23,
Census tract,Tract 7005.02,17031700502,32,
Census tract,Tract 7101,17031710100,4,
Census tract,Tract 7102,17031710200,2,
Census tract,Tract 7103,17031710300,12,
Census tract,Tract 7104,17031710400,9,
Census tract,Tract 7105,17031710500,12,
Census tract,Tract 7106,17031710600,8,
Census tract,Tract 7107,17031710700,6,
Census tract,Tract 7108,17031710800,6,
Census tract,Tract 7109,17031710900,11,
Census tract,Tract 7110,17031711000,12,
Census tract,Tract 7111,17031711100,13,
Census tract,Tract 7112,17031711200,20,
Census tract,Tract 7113,17031711300,18,
Census tract,Tract 7114,17031711400,16,
Census tract,Tract 7115,17031711500,22,
Census tract,Tract 7201,17031720100,67,
Census tract,Tract 7202,17031720200,58,
Census tract,Tract 7203,17031720300,83,
Census tract,Tract 7204,17031720400,76,
Census tract,Tract 7205,17031720500,79,
Census tract,Tract 7206,17031720600,77,
Census tract,Tract 7207,17031720700,45,
Census tract,Tract 7301,17031730100,27,
Census tract,Tract 7302.01,17031730201,23,
Census tract,Tract 7302.02,17031730202,29,
Census tract,Tract 7303,17031730300,14,
Census tract,Tract 7304,17031730400,36,
Census tract,Tract 7305,17031730500,27,
